pH,Hardness,Solids,Chlorine,Sulfate,Lead,Mercury,Coliform,Quality
5.36,106.1,358.7,1.587,209.8,0.10659,0.00024,19,Nguy hiểm
6.89,194.9,868.9,1.057,177.6,0.00635,0.04909,2024,Nguy hiểm
8.07,127.5,1886.9,4.623,201.8,0.00249,0.00276,718,Kém
7.73,128.5,499.4,0.884,52.7,0.00665,0.00124,10,Tốt
4.63,192.6,93.0,4.605,143.1,0.00692,0.00353,16,Nguy hiểm
7.48,193.0,128.7,0.573,117.2,0.00797,0.00141,25,Tốt
8.68,92.5,983.6,0.565,141.3,0.00425,0.00039,1,Trung bình
10.11,201.3,443.7,4.578,396.9,0.00078,0.00852,6,Kém
6.29,124.2,354.9,4.146,84.7,0.01372,0.00125,10,Trung bình
6.81,705.3,492.8,0.853,94.1,0.075,0.00251,3,Nguy hiểm
7.52,81.5,909.5,1.164,186.1,0.0042,0.00012,80,Trung bình
7.67,156.0,1037.4,0.559,369.1,0.00798,0.00051,1468,Nguy hiểm
7.88,382.8,1915.3,1.011,831.9,0.00534,0.00492,571,Kém
7.65,208.8,1097.5,0.666,92.4,0.0111,0.00111,7,Trung bình
8.1,176.6,223.7,1.541,345.8,0.00674,0.00074,88,Trung bình
8.8,81.5,374.2,1.753,413.4,0.01057,0.00149,6,Trung bình
7.7,215.0,308.7,0.72,151.3,5e-05,0.00128,5,Tốt
6.94,158.2,289.5,1.279,47.9,0.00164,0.00135,3,Tốt
7.15,214.7,205.1,0.448,49.4,0.00024,0.00109,3,Tốt
7.09,134.4,309.0,0.671,77.0,0.00263,0.00016,15,Tốt
7.8,104.4,1577.9,4.655,583.8,0.01847,0.00116,11,Kém
7.35,513.1,395.3,4.313,195.2,0.03965,0.00104,756,Kém
7.29,118.4,367.3,0.742,708.3,0.00312,0.03428,24,Nguy hiểm
7.81,663.4,324.0,4.466,62.6,0.01299,0.00841,20,Kém
10.02,590.3,411.1,4.749,705.4,0.00733,0.00149,21,Kém
7.16,429.0,374.2,0.668,276.3,0.00296,0.00237,3,Trung bình
6.91,137.5,228.0,1.89,80.0,0.00416,0.00085,3,Tốt
8.19,137.4,133.6,1.982,297.0,0.00231,0.00109,154,Trung bình
7.88,102.6,1070.9,0.653,40.5,0.13831,0.00028,23,Nguy hiểm
5.31,125.7,1794.2,0.661,50.3,0.04467,0.00036,745,Kém
6.77,714.4,2786.9,6.286,122.6,0.00374,8e-05,138,Nguy hiểm
7.2,133.5,138.8,1.7,134.2,0.18164,0.015,17,Nguy hiểm
9.06,181.9,395.5,1.867,190.4,0.00216,0.00041,95,Trung bình
7.18,96.0,1776.9,4.943,70.3,0.04276,0.00636,0,Kém
8.05,178.9,284.9,0.74,64.7,0.00471,0.00095,3,Tốt
8.01,90.1,99.6,4.509,288.4,0.0218,0.00728,709,Kém
8.84,124.8,789.8,0.435,183.4,0.01179,0.00067,6,Trung bình
8.17,109.7,789.2,0.981,124.8,0.00601,0.00149,91,Trung bình
4.14,166.6,256.0,4.917,45.5,0.1213,0.02623,7,Nguy hiểm
5.22,195.3,249.7,4.388,131.4,0.00256,0.00871,467,Kém
7.54,116.8,89.8,0.822,154.6,0.00151,0.00107,12,Tốt
8.17,207.2,406.9,3.637,199.8,0.00752,0.00117,109,Trung bình
7.63,217.1,414.5,1.809,61.4,0.00663,0.00053,16,Tốt
5.35,139.5,1593.3,0.808,166.6,0.02282,0.00059,14,Kém
8.09,93.1,980.1,0.335,173.3,0.00201,0.00376,8,Trung bình
6.89,162.4,195.2,1.21,102.1,0.00166,0.00069,8,Tốt
7.6,587.6,470.0,0.939,82.2,0.03857,0.00721,15,Kém
7.33,95.7,1867.5,1.69,57.6,0.00403,0.00088,4403,Nguy hiểm
7.52,151.3,473.0,0.5,168.8,0.00687,0.00093,25,Tốt
7.35,125.5,491.7,0.71,118.8,0.00501,8e-05,5,Tốt
6.93,600.5,1867.7,4.867,650.0,0.00458,0.00056,0,Kém
7.64,593.8,231.9,4.334,783.2,0.01724,0.00039,19,Kém
7.18,98.0,265.1,0.379,161.8,0.00097,0.00088,4,Tốt
6.92,204.0,444.7,1.015,1391.5,0.00184,0.00366,147,Nguy hiểm
7.51,95.2,1885.5,4.557,779.2,0.03379,0.00296,13,Kém
5.33,589.3,376.4,1.389,89.6,0.03339,7e-05,11,Kém
7.62,982.9,298.5,1.077,103.5,0.12666,0.00464,6,Nguy hiểm
7.78,774.8,235.5,8.612,183.1,0.00637,0.00136,293,Nguy hiểm
6.37,109.8,996.1,3.9,53.1,0.00553,0.00056,5,Trung bình
6.32,106.9,283.8,0.539,363.4,0.00407,0.01981,259,Nguy hiểm
7.76,131.0,433.9,1.182,609.0,0.00313,0.02598,10,Nguy hiểm
7.07,334.0,229.8,4.665,573.2,0.03949,0.00101,469,Kém
7.9,402.5,1008.2,1.172,325.1,0.00635,0.00089,4,Trung bình
6.71,139.3,1845.9,0.074,735.2,0.04232,0.00523,18,Kém
8.59,85.6,342.5,1.884,114.5,0.01351,0.00113,14,Trung bình
6.82,113.5,108.1,1.802,157.9,0.00505,3e-05,10,Tốt
10.27,80.2,353.8,4.363,556.7,0.00752,0.00142,256,Kém
7.97,181.7,389.9,0.03,111.3,0.00379,0.00259,16,Trung bình
7.79,190.9,206.3,0.951,47.6,0.00595,0.00042,15,Tốt
7.45,168.0,107.5,1.903,177.9,0.00042,0.00084,13,Tốt
11.76,157.3,240.6,0.85,1271.0,0.00721,0.00142,780,Nguy hiểm
5.42,405.2,463.8,4.291,191.1,0.00545,0.00048,337,Kém
7.28,627.9,1810.4,1.956,105.0,0.03562,0.00856,24,Kém
6.25,183.4,1016.8,1.568,65.2,0.01053,0.00064,3,Trung bình
6.4,113.6,166.2,3.324,157.0,0.00729,0.00222,15,Trung bình
7.35,708.7,468.0,4.627,665.9,0.00721,0.00052,95,Kém
7.09,180.7,364.5,1.017,182.0,0.00507,0.00107,0,Tốt
11.87,179.4,1943.6,1.197,1065.4,0.00308,0.00221,24,Nguy hiểm
10.02,120.5,156.1,0.778,830.5,0.01998,0.00068,14,Kém
7.12,128.6,167.1,0.752,160.9,0.01182,0.00106,99,Trung bình
9.98,651.3,102.5,0.891,145.6,0.00234,0.00898,675,Kém
7.19,621.3,1691.8,0.326,158.1,0.00213,0.00331,358,Kém
7.87,195.2,291.6,0.545,102.7,0.00317,0.00121,1,Tốt
7.78,206.1,99.1,9.317,98.3,0.00526,0.00273,2,Nguy hiểm
6.77,119.2,436.0,9.591,143.2,0.00089,0.00058,4667,Nguy hiểm
10.21,118.4,448.7,1.46,151.3,0.12483,0.00146,94,Nguy hiểm
7.29,157.4,173.8,1.624,209.0,0.00754,0.00014,3,Tốt
8.02,185.8,137.7,0.674,186.2,0.00617,0.00128,12,Tốt
7.65,206.8,2122.2,4.628,535.8,0.01601,0.00114,1,Kém
7.18,97.6,730.6,1.148,186.5,0.03504,0.00556,236,Kém
7.97,544.5,817.0,0.786,765.1,0.03037,0.00016,634,Kém
7.17,91.5,282.7,1.333,213.9,0.00568,0.00037,9,Tốt
6.91,138.5,2213.6,9.534,81.4,0.00347,0.00141,17,Nguy hiểm
11.5,137.6,3091.9,1.235,270.3,0.00041,0.00114,172,Nguy hiểm
6.82,203.0,215.2,1.788,170.7,0.00348,0.00149,15,Tốt
6.99,173.4,251.6,1.478,662.3,0.02732,0.00789,401,Kém
8.19,385.2,280.8,3.246,383.1,0.00578,0.00029,2,Trung bình
6.34,144.2,2035.5,4.613,704.0,0.03718,0.00116,17,Kém
6.86,215.8,206.3,4.879,1340.1,0.00637,0.00063,10,Nguy hiểm
7.64,129.6,2555.5,0.036,72.9,0.13677,0.00038,538,Nguy hiểm
7.09,174.4,466.2,1.977,46.2,0.00695,0.00069,1,Tốt
7.98,85.0,342.9,0.969,378.0,0.00027,0.00374,1,Trung bình
6.83,544.5,167.7,4.855,686.7,0.00739,0.00026,517,Kém
6.77,97.7,344.1,1.497,173.5,0.008,0.00051,18,Tốt
6.14,389.0,110.7,0.594,86.7,0.00383,0.00148,66,Trung bình
6.79,191.1,185.5,0.478,178.5,0.01267,0.00335,11,Trung bình
8.12,113.9,175.8,1.155,73.2,0.00693,6e-05,8,Tốt
6.8,989.5,137.4,0.88,96.5,0.102,0.001,145,Nguy hiểm
7.64,164.0,288.4,7.2,1173.9,0.00265,0.00112,24,Nguy hiểm
6.23,166.5,1520.0,1.473,168.2,0.01144,0.0334,17,Nguy hiểm
7.71,209.9,348.4,0.914,49.4,0.00373,0.00087,7,Tốt
7.23,811.7,108.0,7.28,162.1,0.00199,0.04772,2,Nguy hiểm
7.83,100.6,1847.3,1.001,213.2,0.0016,0.01523,4906,Nguy hiểm
6.15,198.6,432.7,0.838,112.7,0.00298,0.00372,9,Trung bình
7.45,166.6,440.1,0.055,546.3,0.02878,0.00081,562,Kém
7.24,100.5,175.9,0.573,158.0,0.00261,0.00121,16,Tốt
5.11,199.3,2158.4,1.722,594.0,0.00614,0.00467,13,Kém
5.12,88.0,2047.2,0.921,126.6,0.03531,0.00066,879,Kém
9.02,202.9,154.4,0.363,61.1,0.00078,0.00302,20,Trung bình
7.75,128.9,301.8,1.806,168.4,0.00462,0.00114,1,Tốt
7.64,213.3,133.1,8.52,345.5,0.00375,0.00085,346,Nguy hiểm
8.04,141.3,196.2,0.047,165.2,0.00041,0.00136,2864,Nguy hiểm
7.54,158.7,185.6,1.676,186.3,0.01398,3e-05,3051,Nguy hiểm
7.0,204.1,245.2,1.028,189.2,0.00046,0.00038,7,Tốt
6.25,323.2,729.4,1.834,45.8,0.00494,0.00019,21,Trung bình
7.42,91.4,398.7,1.438,138.0,0.00542,0.0008,15,Tốt
7.88,564.6,172.7,1.053,793.2,0.00694,0.00621,564,Kém
7.58,195.0,85.3,0.747,52.4,0.00313,0.00138,20,Tốt
7.93,354.3,108.1,0.902,364.0,0.19807,0.00372,24,Nguy hiểm
7.95,197.8,944.5,0.629,392.2,0.00025,0.00254,3,Trung bình
5.29,218.2,81.3,1.407,575.1,0.00461,0.00755,5,Kém
8.03,789.3,105.6,0.07,1154.8,0.01169,0.00011,20,Nguy hiểm
10.83,376.5,353.3,0.732,185.4,0.00287,0.00073,23,Nguy hiểm
5.27,83.9,331.5,9.78,93.0,0.00767,0.00107,15,Nguy hiểm
6.75,185.7,393.2,0.559,105.1,0.0059,0.00096,24,Tốt
5.43,574.8,497.7,1.637,50.8,0.00338,0.00736,22,Kém
7.23,186.5,420.9,1.637,183.5,0.00103,0.00041,6,Tốt
7.96,197.9,386.1,1.082,191.6,0.00244,0.00135,16,Tốt
6.81,206.5,1524.3,1.228,705.5,0.01995,0.00541,90,Kém
7.14,134.0,225.2,1.791,106.2,0.00722,0.00053,5,Tốt
7.55,174.6,373.1,3.866,187.7,0.0046,0.00273,1,Trung bình
6.75,108.8,953.1,1.133,195.5,0.00737,0.00278,2,Trung bình
10.78,152.1,793.3,0.972,663.2,0.0988,0.00073,14,Nguy hiểm
11.23,120.1,282.1,0.821,140.2,0.00461,0.00087,525,Nguy hiểm
7.53,101.0,2835.6,0.961,1250.8,0.04028,0.00049,12,Nguy hiểm
7.52,705.0,1900.2,1.237,107.3,0.00797,0.00796,7,Kém
7.94,81.6,113.9,0.518,146.5,0.00655,0.00087,5,Tốt
7.56,200.8,186.9,1.001,161.4,0.0018,0.00141,4,Tốt
6.91,106.0,337.2,0.473,54.1,0.00602,0.00083,13,Tốt
9.07,201.3,186.9,0.053,119.8,0.0038,0.0005,112,Trung bình
11.93,175.7,119.7,4.756,135.7,0.0052,0.001,727,Nguy hiểm
5.27,202.0,373.0,0.677,203.7,0.02995,0.00772,4,Kém
7.05,522.5,227.6,0.621,396.9,0.04169,0.00572,349,Kém
6.29,92.2,1061.9,0.9,167.0,0.00578,0.00135,1,Trung bình
7.59,113.6,255.1,1.46,159.0,0.00118,0.00079,2,Tốt
8.05,199.2,125.4,1.24,132.0,0.00165,0.00089,2,Tốt
7.6,407.2,1098.4,0.531,84.0,0.00583,8e-05,84,Trung bình
6.18,107.2,314.6,4.337,809.7,0.03953,0.00147,25,Kém
6.17,94.1,394.3,9.417,294.2,0.00672,0.00083,3731,Nguy hiểm
5.42,521.9,306.0,0.964,94.3,0.00378,0.00074,876,Kém
7.89,641.8,346.2,4.552,52.0,0.01056,0.00689,546,Kém
7.48,336.1,145.3,1.66,288.3,0.00237,0.00023,11,Trung bình
9.91,102.3,445.4,1.636,661.4,0.00139,0.00129,721,Kém
7.8,134.6,3128.6,0.99,47.5,0.00278,0.04204,8,Nguy hiểm
7.49,384.0,802.7,1.55,217.2,0.00039,0.0008,172,Trung bình
6.7,130.1,319.3,4.666,204.9,0.02816,0.0368,20,Nguy hiểm
7.17,388.9,421.7,0.038,195.1,0.01328,0.0006,24,Trung bình
8.55,164.4,345.0,4.813,135.9,0.16806,0.0266,2,Nguy hiểm
7.69,89.4,161.3,1.267,181.5,0.00103,0.00116,9,Tốt
9.99,204.2,121.3,1.07,844.6,0.12151,0.00057,3,Nguy hiểm
9.62,106.2,1869.0,0.387,642.0,0.00744,0.00035,844,Kém
7.75,179.1,228.8,1.36,144.2,0.00525,0.00138,9,Tốt
6.1,98.4,250.8,0.565,413.1,0.00622,0.00291,8,Trung bình
8.11,408.1,2013.1,1.022,808.0,0.03443,2e-05,562,Kém
7.3,111.6,214.9,1.709,56.7,0.00488,0.00033,16,Tốt
7.59,217.1,317.9,0.842,201.8,0.00117,0.00127,18,Tốt
5.2,566.5,1560.5,0.861,680.1,0.00785,0.00248,24,Kém
5.29,603.6,126.5,0.445,67.8,0.00623,0.0048,16,Kém
7.38,103.0,232.2,4.599,86.7,0.00149,0.01941,17,Nguy hiểm
6.93,135.4,2125.2,0.369,797.6,0.00461,0.00789,263,Kém
7.07,128.9,410.4,1.555,1219.9,0.00314,0.00131,4496,Nguy hiểm
9.93,634.1,336.5,1.908,77.3,0.00129,0.00119,896,Kém
7.9,155.2,1720.0,6.257,78.1,0.00214,0.02075,8,Nguy hiểm
6.98,565.8,2155.7,1.796,135.2,0.0143,0.02552,25,Nguy hiểm
9.97,210.9,2111.9,4.621,103.1,0.02026,0.00139,20,Kém
8.09,796.2,386.2,0.921,47.6,0.00535,0.03852,1,Nguy hiểm
8.94,152.0,827.6,1.053,349.3,0.00047,0.00047,8,Trung bình
6.23,206.5,233.6,1.827,293.2,0.01147,0.00037,10,Trung bình
7.94,206.2,1727.3,6.766,138.2,0.00263,0.00032,0,Nguy hiểm
7.98,117.8,879.6,3.638,80.4,0.00373,0.00063,24,Trung bình
8.17,128.0,364.6,1.217,198.5,0.00783,0.00026,15,Tốt
7.81,165.7,245.0,0.872,202.8,0.00384,0.00032,17,Tốt
7.11,157.9,304.4,6.225,1211.9,4e-05,0.03107,12,Nguy hiểm
9.85,699.6,145.3,1.162,152.8,0.0253,0.00148,429,Kém
8.09,210.8,176.1,3.374,360.5,0.00453,0.00231,7,Trung bình
7.04,195.4,473.0,1.93,89.1,0.0008,0.0007,1,Tốt
7.92,160.6,1728.9,4.762,1234.6,0.00267,0.0036,13,Nguy hiểm
6.87,517.4,471.0,1.56,294.4,0.00638,0.00043,1972,Nguy hiểm
7.37,630.9,1785.4,1.219,214.9,0.01676,0.00585,11,Kém
6.91,340.5,117.7,0.082,136.3,0.0073,0.00053,172,Trung bình
7.52,142.8,280.6,1.233,217.9,0.00606,0.00149,18,Tốt
9.7,198.9,287.6,4.55,106.2,0.0323,0.00822,7,Kém
7.11,317.8,238.2,1.602,284.7,0.0119,0.00018,24,Trung bình
6.98,315.2,943.9,1.764,44.5,0.0077,0.04661,23,Nguy hiểm
7.1,128.8,94.9,0.752,1150.4,0.13181,0.00105,1716,Nguy hiểm
7.19,173.6,492.5,0.035,142.2,0.00468,0.00074,4896,Nguy hiểm
5.32,606.5,293.4,1.018,602.7,0.02577,0.00369,22,Kém
6.74,546.3,2133.2,0.392,192.7,0.00748,0.00603,23,Kém
5.15,219.4,94.1,0.525,164.8,0.00257,0.00848,382,Kém
6.41,182.6,204.8,1.663,298.4,0.00295,0.00107,14,Trung bình
9.83,213.6,125.9,4.46,42.0,0.01069,0.00041,766,Kém
8.74,130.6,229.5,1.812,110.9,0.00695,0.00238,14,Trung bình
7.24,327.0,2257.3,0.885,123.1,0.16099,0.00132,2151,Nguy hiểm
8.19,797.8,445.5,0.641,1287.0,0.00795,0.00069,1,Nguy hiểm
7.2,214.1,1723.1,4.726,603.9,0.00311,0.00719,20,Kém
7.89,405.1,191.5,1.544,302.1,0.00696,9e-05,6,Trung bình
6.41,99.0,446.8,3.397,126.1,0.00331,0.01358,21,Nguy hiểm
6.75,162.0,918.3,0.931,116.3,0.00066,0.00032,89,Trung bình
8.03,390.4,230.7,1.765,360.7,0.00399,0.00044,7,Trung bình
7.06,171.7,1012.4,1.257,185.8,0.01107,7e-05,4,Trung bình
7.47,212.6,295.3,0.919,77.5,0.00465,0.00112,13,Tốt
10.71,975.3,200.8,1.214,63.7,0.0123,0.04634,9,Nguy hiểm
8.04,85.4,1609.5,1.382,566.1,0.01106,0.03005,12,Nguy hiểm
6.4,130.8,93.6,0.569,138.6,0.00763,0.00363,78,Trung bình
7.24,322.7,242.9,4.644,79.0,0.03551,0.00565,705,Kém
7.59,327.8,232.9,1.597,385.6,0.00428,0.00148,13,Trung bình
7.13,183.8,1996.2,0.913,402.4,0.00363,0.00644,385,Kém
6.84,393.3,210.0,1.738,89.7,0.01133,0.00104,132,Trung bình
8.14,193.2,402.2,0.563,92.8,0.00251,0.00115,4,Tốt
7.38,80.5,92.3,0.74,99.8,0.0075,0.00037,21,Tốt
7.52,164.6,1697.8,0.953,566.3,0.00617,0.00097,850,Kém
10.03,93.9,454.5,4.597,65.1,0.01442,0.00075,696,Kém
6.8,165.4,1752.5,1.052,623.5,0.00784,0.00632,390,Kém
6.89,415.7,138.6,1.754,87.0,0.01068,0.00143,18,Trung bình
7.34,120.0,266.9,1.207,153.6,0.01071,0.00078,98,Trung bình
7.17,144.4,371.9,9.021,74.4,0.00745,0.0047,3,Nguy hiểm
8.75,166.8,287.0,4.131,150.2,0.00487,3e-05,2,Trung bình
7.44,137.0,201.7,1.517,46.9,0.00676,0.00048,20,Tốt
7.4,115.5,448.9,0.03,154.7,0.00174,0.00144,2584,Nguy hiểm
9.04,192.6,225.4,1.444,179.5,0.01361,0.00252,3162,Nguy hiểm
4.16,324.2,326.9,1.522,132.9,0.00087,0.03999,4578,Nguy hiểm
10.18,217.4,1612.4,4.46,568.4,0.00664,1e-05,170,Kém
5.15,368.5,211.3,1.613,1383.6,0.00125,0.00095,453,Nguy hiểm
8.97,399.3,221.3,0.793,67.6,0.00701,0.00347,14,Trung bình
3.99,742.1,133.6,1.502,178.8,0.07173,0.04233,0,Nguy hiểm
8.71,89.2,255.4,0.051,161.6,0.00611,0.00016,174,Trung bình
4.73,84.1,426.5,0.877,185.0,0.00094,0.0009,1935,Nguy hiểm
6.74,329.5,914.6,0.534,203.8,0.00781,0.00283,10,Trung bình
7.48,144.9,418.9,1.702,343.3,0.0019,0.00366,95,Trung bình
5.33,134.5,351.5,1.166,61.1,0.03021,0.00527,610,Kém
7.9,107.6,451.3,0.577,131.6,0.00275,0.00066,7,Tốt
10.19,103.5,2113.3,1.441,40.3,0.02644,0.00149,828,Kém
6.93,152.4,473.7,0.748,86.1,0.00429,0.00085,21,Tốt
7.81,741.9,1522.5,1.741,113.5,0.00489,0.02413,1973,Nguy hiểm
7.18,176.1,82.1,0.852,180.4,0.00512,9e-05,18,Tốt
8.14,145.3,270.2,0.817,176.1,0.0043,0.00115,9,Tốt
7.55,100.3,405.4,0.725,143.7,0.02095,0.00865,848,Kém
7.66,98.1,264.0,0.817,189.6,0.00197,0.0011,8,Tốt
7.65,511.3,1652.7,3.6,821.7,0.00446,0.00011,12,Kém
7.18,112.4,160.5,1.498,207.1,0.02586,0.04468,2902,Nguy hiểm
7.24,145.7,367.6,0.692,146.8,0.00428,0.0007,4,Tốt
9.81,107.3,2159.3,0.9,189.0,0.11105,0.00689,12,Nguy hiểm
7.16,106.1,87.6,1.655,396.7,0.00751,0.00234,168,Trung bình
6.97,106.5,368.6,3.764,296.6,0.00449,0.0003,169,Trung bình
6.91,182.6,277.7,0.365,209.4,0.00714,0.00075,25,Tốt
7.88,162.1,1909.8,4.544,593.6,0.00341,0.00021,429,Kém
7.0,167.9,116.9,0.658,137.7,0.00209,0.00045,5,Tốt
6.72,160.8,435.6,1.359,132.4,0.0173,0.01653,24,Nguy hiểm
8.09,532.1,1762.9,1.761,791.5,0.03225,0.00058,0,Kém
7.01,183.6,442.9,1.169,60.7,0.00396,0.00085,4,Tốt
7.17,396.0,363.6,5.894,1108.0,0.00091,0.01771,22,Nguy hiểm
5.28,88.3,2096.6,0.366,598.0,0.03464,0.00032,16,Kém
6.45,176.1,1691.1,4.936,678.9,0.00455,0.00706,14,Kém
6.81,103.1,1947.8,1.368,180.2,0.00134,0.00451,628,Kém
7.06,110.7,1546.3,1.69,650.9,0.03485,0.00125,885,Kém
7.41,559.2,199.2,4.828,790.2,0.00628,0.00065,579,Kém
7.1,762.7,2384.5,0.58,58.0,0.177,0.00847,18,Nguy hiểm
7.86,159.1,301.6,4.006,41.9,0.01203,0.00115,20,Trung bình
7.32,176.6,947.4,0.877,143.8,0.01195,9e-05,5,Trung bình
6.87,128.4,1927.3,0.079,71.1,0.00484,0.00531,395,Kém
5.13,93.4,1731.7,4.939,157.4,0.00276,0.0008,832,Kém
7.31,89.2,152.5,8.545,63.8,0.04012,0.04217,4,Nguy hiểm
7.09,541.3,123.7,4.217,592.9,0.0077,0.00496,13,Kém
7.21,81.4,1819.0,7.299,152.4,0.0061,0.03669,18,Nguy hiểm
7.73,212.4,1643.6,1.232,693.1,0.04181,0.00087,22,Kém
9.7,174.1,368.8,4.518,799.4,0.00359,0.00041,501,Kém
7.29,124.5,228.0,1.457,190.1,0.00191,0.00067,6,Tốt
6.44,191.6,140.2,1.676,219.7,0.00282,0.00107,114,Trung bình
7.29,209.6,284.5,4.414,118.8,0.01182,0.03275,8,Nguy hiểm
7.33,214.4,466.0,1.951,100.7,0.00589,0.00091,20,Tốt
7.23,173.2,478.7,0.433,105.9,0.01052,0.00876,1917,Nguy hiểm
7.54,409.9,398.4,1.489,71.7,0.01447,0.00031,156,Trung bình
7.17,201.8,494.6,0.826,207.3,0.00193,0.00148,6,Tốt
7.59,101.2,438.0,0.567,123.5,0.00143,0.00046,8,Tốt
8.06,174.5,238.5,1.358,194.7,0.00475,0.00014,1,Tốt
5.36,637.3,289.8,0.306,106.0,0.00505,0.00607,18,Kém
4.35,148.8,151.1,0.035,99.2,0.01156,0.00131,117,Nguy hiểm
8.0,165.2,282.2,1.751,207.2,0.00533,0.00034,11,Tốt
9.81,516.0,1551.3,1.492,212.2,0.00092,0.00827,11,Kém
6.78,160.2,254.1,1.711,88.0,0.00217,0.00101,9,Tốt
9.61,651.4,285.2,4.774,185.0,0.01292,0.00025,19,Kém
7.73,93.6,466.9,0.906,112.2,0.00142,0.00097,16,Tốt
8.03,81.0,393.3,0.759,86.9,0.00547,0.00078,5,Tốt
7.31,210.2,1074.4,1.289,1121.8,0.01113,0.00106,24,Nguy hiểm
8.04,98.8,210.1,0.69,414.8,0.00544,0.001,61,Trung bình
6.97,178.7,169.3,1.98,1189.4,0.04219,0.00141,5,Nguy hiểm
8.03,199.1,380.7,1.609,168.5,0.00766,0.00145,22,Tốt
6.17,198.6,2945.2,1.381,786.0,0.00479,0.04093,6,Nguy hiểm
7.1,168.9,169.1,3.574,142.5,0.01077,0.00092,18,Trung bình
7.52,114.0,1581.3,4.827,208.0,0.03765,0.00254,6,Kém
7.45,155.8,1592.1,4.444,119.8,0.00459,0.00637,232,Kém
8.19,151.0,354.5,7.791,140.4,0.05836,0.00074,18,Nguy hiểm
5.25,688.2,1788.0,1.353,64.6,0.00065,0.01362,7,Nguy hiểm
7.1,108.0,2193.2,1.194,46.2,0.00377,0.00637,398,Kém
8.2,173.9,335.3,4.676,630.6,0.19635,0.00143,411,Nguy hiểm
6.74,422.3,298.4,1.296,379.0,0.01178,0.00131,4,Trung bình
7.94,357.3,220.6,4.657,88.2,0.01725,0.005,530,Kém
7.69,89.9,734.8,0.956,339.4,0.00226,0.00062,19,Trung bình
6.39,166.7,797.9,0.993,163.6,0.00315,0.00085,106,Trung bình
6.8,96.2,450.1,1.178,156.3,0.00738,0.00063,14,Tốt
7.84,926.7,153.1,9.997,49.0,0.02776,0.04396,20,Nguy hiểm
7.12,181.4,362.6,4.292,143.7,0.00162,0.00011,4465,Nguy hiểm
8.06,125.6,229.7,8.959,134.5,0.01281,0.00097,87,Nguy hiểm
7.32,102.8,304.4,1.923,60.3,0.00164,0.00136,6,Tốt
7.68,423.5,99.6,0.606,392.6,0.00562,0.00116,138,Trung bình
8.92,123.6,388.8,1.851,109.9,0.01388,9e-05,7,Trung bình
4.58,129.2,2856.5,7.907,167.0,0.00432,0.0449,19,Nguy hiểm
8.89,167.7,133.1,4.822,1253.3,0.00347,0.00066,3,Nguy hiểm
8.16,151.6,253.2,1.989,148.3,0.00563,0.00065,24,Tốt
6.94,169.1,396.7,1.69,136.7,0.01199,0.00256,10,Trung bình
6.09,384.3,1007.8,1.535,176.3,0.00763,0.00025,10,Trung bình
7.35,101.7,253.1,1.688,209.1,0.00188,0.00051,19,Tốt
6.92,155.5,486.4,0.765,193.0,0.01218,0.00294,1,Trung bình
9.02,121.2,351.3,0.064,42.8,0.00324,0.00078,17,Trung bình
7.18,151.7,2025.0,1.656,102.7,0.04456,0.00696,1650,Nguy hiểm
10.98,206.6,2236.4,1.529,1305.5,0.00722,0.00064,21,Nguy hiểm
3.44,155.6,254.0,9.096,47.2,0.04168,0.00124,8,Nguy hiểm
7.59,150.3,182.0,1.295,80.3,0.00441,0.00104,9,Tốt
7.62,180.9,166.9,0.441,126.3,0.00603,0.00045,4,Tốt
8.0,126.7,2572.9,3.567,132.3,0.12119,0.00373,7,Nguy hiểm
7.39,146.0,2755.2,4.753,1178.4,0.001,0.04337,8,Nguy hiểm
7.29,160.3,414.2,1.071,105.7,0.0062,0.00059,4,Tốt
6.99,139.2,424.2,0.02,184.2,0.00504,0.00136,92,Trung bình
5.22,594.7,1704.9,0.466,198.5,0.00479,0.00017,13,Kém
7.11,559.9,1729.9,1.422,748.4,0.0064,0.00247,18,Kém
7.94,207.8,396.1,0.591,42.0,0.00011,0.00149,3,Tốt
6.77,626.1,249.9,4.718,191.8,0.00435,0.00692,399,Kém
7.03,703.7,204.8,0.988,361.1,0.04025,0.00614,716,Kém
8.12,138.2,272.6,0.343,150.5,0.00276,0.00123,8,Tốt
6.97,94.2,339.6,0.03,377.4,0.00721,0.00127,143,Trung bình
6.92,126.0,1519.7,4.312,776.2,0.0036,0.00145,298,Kém
9.89,392.8,1511.8,1.529,52.7,0.01731,0.00036,267,Kém
9.78,541.0,1903.6,1.355,590.7,0.00393,0.00029,6,Kém
8.01,84.8,103.2,1.735,194.0,0.00359,0.00099,1,Tốt
9.64,705.2,1699.4,1.213,89.6,0.00424,0.0009,2,Kém
7.6,127.7,108.9,1.628,206.5,0.00777,9e-05,19,Tốt
7.7,124.3,437.8,1.118,92.9,0.00678,0.00027,22,Tốt
6.02,127.4,214.0,0.419,63.3,0.0058,0.00079,61,Trung bình
5.23,407.4,1806.6,4.736,158.8,0.00156,0.00684,10,Kém
7.45,158.5,187.4,0.816,168.5,0.0025,0.00054,0,Tốt
8.14,216.5,1028.9,0.786,64.0,0.00645,0.00345,11,Trung bình
7.8,218.3,277.6,1.282,188.5,0.0043,0.00126,2,Tốt
8.1,589.7,115.0,4.654,197.7,0.03357,0.0013,459,Kém
7.83,131.1,352.9,1.524,80.8,0.00591,0.00062,20,Tốt
